Time(s),EKG(mV)
130.47499999999999,-0.0076689324341714382
130.47999999999999,-0.015578269958496094
130.48500000000001,-0.020819108933210373
130.49000000000001,-0.024785798043012619
130.495,-0.024353068321943283
130.5,-0.020049810409545898
130.505,-0.015794634819030762
130.50999999999999,-0.0093998517841100693
130.51499999999999,-0.0062505407258868217
130.52000000000001,-0.0039426488801836967
130.52500000000001,-0.0034137568436563015
130.53,-0.0014424324035644531
130.535,0.0023800134658813477
130.53999999999999,0.013174216262996197
130.54499999999999,0.022742351517081261
130.55000000000001,0.036685865372419357
130.55500000000001,0.043224893510341644
130.56,0.046975217759609222
130.565,0.046133797615766525
130.56999999999999,0.043321054428815842
130.57499999999999,0.04262387752532959
130.58000000000001,0.045965515077114105
130.58500000000001,0.051711201667785645
130.59,0.065221987664699554
130.595,0.076617203652858734
130.59999999999999,0.09517650306224823
130.60499999999999,0.10722081363201141
130.61000000000001,0.12327989190816879
130.61500000000001,0.13253550231456757
130.62,0.14508466422557831
130.625,0.15313825011253357
130.63,0.16499023139476776
130.63499999999999,0.17220239341259003
130.63999999999999,0.18035213649272919
130.64500000000001,0.18280427157878876
130.65000000000001,0.17994344234466553
130.655,0.17273128032684326
130.66,0.15294592082500458
130.66499999999999,0.13412217795848846
130.66999999999999,0.099720165133476257
130.67500000000001,0.074982449412345886
130.68000000000001,0.039618812501430511
130.685,0.019496878609061241
130.69,-0.0032935540657490492
130.69499999999999,-0.013655027374625206
130.69999999999999,-0.024040540680289268
130.70500000000001,-0.02952178381383419
130.71000000000001,-0.038464866578578949
130.715,-0.049114823341369629
130.72,-0.055990420281887054
130.72499999999999,-0.062890052795410156
130.72999999999999,-0.06394784152507782
130.73500000000001,-0.062240958213806152
130.74000000000001,-0.056952040642499924
130.745,-0.052648782730102539
130.75,-0.051903527230024338
130.755,-0.053490202873945236
130.75999999999999,-0.055076878517866135
130.76499999999999,-0.056110620498657227
130.77000000000001,-0.055581729859113693
130.77500000000001,-0.054211419075727463
130.78,-0.053995054215192795
130.785,-0.055846177041530609
130.78999999999999,-0.058298312127590179
130.79499999999999,-0.062265001237392426
130.80000000000001,-0.064043998718261719
130.80500000000001,-0.064596936106681824
130.81,-0.063683390617370605
130.815,-0.061327420175075531
130.81999999999999,-0.05966862291097641
130.82499999999999,-0.057312648743391037
130.83000000000001,-0.055701933801174164
130.83500000000001,-0.052744947373867035
130.84,-0.050388973206281662
130.845,-0.046518445014953613
130.84999999999999,-0.043946109712123871
130.85499999999999,-0.039979420602321625
130.86000000000001,-0.036854147911071777
130.86500000000001,-0.030243000015616417
130.87,-0.024208825081586838
130.875,-0.013270378112792969
130.88,-0.0059380135498940945
130.88499999999999,0.0021155676804482937
130.88999999999999,0.0039666891098022461
130.89500000000001,0.00019232432532589883
130.90000000000001,-0.0061062974855303764
130.905,-0.018511217087507248
130.91,-0.026733081787824631
130.91499999999999,-0.036637783050537109
130.91999999999999,-0.041445892304182053
130.92500000000001,-0.047480069100856781
130.93000000000001,-0.05185544490814209
130.935,-0.05966862291097641
130.94,-0.065077744424343109
130.94499999999999,-0.071232125163078308
130.94999999999999,-0.073035165667533875
130.95500000000001,-0.071977376937866211
130.96000000000001,-0.069380998611450195
130.965,-0.06394784152507782
130.97,-0.060317717492580414
130.97499999999999,-0.057601135224103928
130.97999999999999,-0.059788823127746582
130.98500000000001,-0.066183611750602722
